Adjective,Noun,Frequency
closed,formula,170
linear,combination,151
null,space,110
many,way,107
natural,number,99
real,number,98
linear,map,96
normal,subgroup,91
chromatic,number,75
odd,number,74
scalar,multiplication,73
integral,domain,71
linear,system,67
mathematical,induction,66
other,word,64
first,term,64
complex,number,62
square,matrix,62
positive,integer,61
recursive,definition,57
even,number,55
finite,group,54
same,number,54
initial,condition,54
standard,basis,53
cyclic,group,50
homogeneous,system,50
total,number,48
minimal,polynomial,47
linear,transformation,46
free,variable,46
small,number,45
abelian,group,45
characteristic,polynomial,44
commutative,ring,43
common,divisor,42
dimensional,space,42
independent,set,41
boolean,algebra,40
right,hand,39
direct,sum,39
bipartite,graph,39
finite,field,38
diagonal,matrix,38
direct,proof,37
empty,set,37
canonical,form,37
unique,solution,36
direct,product,36
many,solution,34
other,hand,33
prime,number,33
next,year,33
polynomial,p(x,33
strong,induction,33
rational,number,32
great,divisor,32
left,hand,32
inductive,case,32
inductive,hypothesis,32
partial,sum,31
arithmetic,sequence,31
finite,extension,30
orthogonal,projection,30
binary,operation,28
second,row,28
sudoku,puzzle,28
many,string,28
right,side,28
large,number,27
special,case,27
same,way,27
prior,example,27
projective,plane,27
true,statement,26
left,coset,26
planar,graph,26
many,choice,26
red,card,26
inductive,step,26
mini,puzzle,25
external,demand,25
determinant,function,25
many,function,24
particular,solution,24
arbitrary,integer,24
many,edge,24
many,subset,24
combinatorial,proof,24
initial,term,24
geometric,sequence,24
single,digit,23
only,way,23
normal,extension,23
first,letter,23
characteristic,equation,23
irreducible,polynomial,22
similar,matrix,22
rigid,motion,21
different,way,21
odd,degree,21
different,number,21
dimensional,formula,21
projective,point,21
other,way,20
many,path,20
prior,item,20
invertible,matrix,19
multiplicative,group,19
proper,subgroup,19
internal,product,19
same,thing,19
nonsingular,matrix,19
different,color,19
maximal,ideal,19
linear,factor,19
discrete,structure,19
complete,graph,19
few,term,19
linear,relationship,19
nilpotent,matrix,19
linear,algebra,18
simple,group,18
inverse,image,18
linear,equation,18
same,set,18
original,statement,18
injective,function,18
elementary,matrix,18
magic,square,18
same,time,17
minimum,distance,17
codomain,domain,17
chromatic,index,17
many,word,17
equilateral,triangle,16
linear,code,16
subnormal,series,16
possible,value,16
usual,operation,16
constant,term,16
next,term,16
primitive,root,15
single,error,15
previous,question,15
partial,order,15
algebraic,extension,15
cyclic,code,15
many,number,15
general,solution,15
second,component,15
linear,surface,15
next,result,15
trivial,subspace,15
equivalent,matrix,15
abstract,algebra,14
discrete,mathematic,14
algebraic,structure,14
other,number,14
such,number,14
nontrivial,subgroup,14
right,coset,14
left,inverse,14
linear,independence,14
mathematical,statement,14
empty,square,14
many,vertex,14
second,letter,14
binomial,identity,14
second,difference,14
characteristic,root,14
characteristic,technique,14
rst,component,14
prior,subsection,14
prior,section,14
nn,matrix,14
independent,subset,14
homogeneous,vector,14
new,set,13
cartesian,product,13
additive,inverse,13
inner,product,13
cyclic,subgroup,13
other,element,13
solvable,group,13
right,inverse,13
principal,ideal,13
necessary,condition,13
constructible,number,13
third,row,13
valid,rule,13
other,vertex,13
binomial,coefficient,13
previous,term,13
rst,column,13
additional,exercise,12
projective,line,12
small,integer,12
least,element,12
nonabelian,group,12
finite,number,12
finite,set,12
canonical,matrix,12
different,order,12
scalar,multiple,12
many,time,12
monic,polynomial,12
quadratic,polynomial,12
binary,relation,12
discrete,math,12
additional,topic,12
logical,structure,12
logical,connective,12
above,example,12
first,line,12
connected,graph,12
same,color,12
left,side,12
single,square,12
gaussian,reduction,12
next,subsection,12
many,vector,12
tall,vector,12
entire,space,12
sided,inverse,12
orthogonal,basis,12
multiplicative,inverse,11
finite,order,11
first,digit,11
single,element,11
polynomial,ring,11
second,equation,11
upper,triangular,11
orthogonal,group,11
normal,series,11
same,size,11
